Colour
yellowgreen
yellow
wheat
violet
turquoise
teal
tan
steelblue
springgreen
slategrey
slategray
slateblue
skyblue
sienna
seagreen
sandybrown
salmon
saddlebrown
royalblue
red
rebeccapurple
purple
powderblue
plum
peru
peachpuff
papayawhip
palevioletred
paleturquoise
palegreen
palegoldenrod
orchid
orange
olivedrab
olive
oldlace
moccasin
mistyrose
mintcream
midnightblue
mediumvioletred
mediumspringgreen
mediumslateblue
mediumseagreen
mediumpurple
mediumorchid
mediumblue
maroon
magenta
linen
limegreen
lime
lightyellow
lightsteelblue
lightslategrey
lightslategray
lightskyblue
lightseagreen
lightsalmon
lightpink
lightgrey
lightgreen
lightgray
lightgoldenrodyellow
lightcyan
lightcoral
lightblue
lemonchiffon
lavenderblush
lavender
khaki
ivory
indianred
hotpink
honeydew
greenyellow
gray
goldenrod
gold
gainsboro
forestgreen
firebrick
dodgerblue
dimgrey
dimgray
deepskyblue
deeppink
darkviolet
darkturquoise
darkslategrey
darkslategray
darkslateblue
darkseagreen
darksalmon
darkred
darkorchid
darkorange
darkolivegreen
darkmagenta
darkkhaki
darkgrey
darkgreen
darkgray
darkgoldenrod
darkblue
cyan
crimson
cornsilk
cornflowerblue
coral
chocolate
chartreuse
cadetblue
burlywood
brown
blueviolet
blanchedalmond
black
bisque
beige
aliceblue
